Latitude UTM (m),Longitude UTM (m)
428053,2976282
428060,2976278
428067,2976273
428074,2976268
428081,2976263
428087,2976258
428094,2976253
428101,2976248
428108,2976243
428114,2976237
428121,2976230
428128,2976224
428134,2976217
428141,2976211
428147,2976204
428151,2976195
428154,2976186
428155,2976175
428156,2976164
428156,2976155
428155,2976146
428155,2976138
428155,2976129
428155,2976121
428154,2976111
428153,2976101
428152,2976092
428151,2976082
428151,2976073
428151,2976065
428152,2976056
428152,2976047
428152,2976038
428153,2976030
428153,2976021
428151,2976009
428150,2975998
428145,2975989
428141,2975979
428138,2975976
428136,2975973
428130,2975967
428125,2975961
428118,2975956
428110,2975951
428103,2975946
428095,2975942
428087,2975940
428079,2975939
428071,2975938
428060,2975939
428050,2975939
428041,2975943
428033,2975948
428026,2975954
428019,2975960
428012,2975965
428006,2975972
428001,2975978
427995,2975984
427986,2975988
427977,2975992
427970,2975995
427942,2975996
427934,2975995
427926,2975993
427918,2975990
427910,2975988
427902,2975982
427894,2975975
427885,2975969
427880,2975966
427877,2975964
427868,2975960
427860,2975955
427850,2975955
427840,2975955
427830,2975955
427821,2975957
427812,2975958
427802,2975960
427793,2975962
427784,2975963
427775,2975966
427766,2975969
427756,2975972
427748,2975972
427740,2975972
427726,2975964
427718,2975957
427725,2975858
427727,2975824
427732,2975821
427738,2975817
427746,2975814
427753,2975811
427762,2975807
427770,2975802
427778,2975796
427787,2975791
427794,2975784
427801,2975778
427808,2975772
427815,2975766
427823,2975761
427830,2975755
427838,2975750
427845,2975745
427852,2975739
427859,2975734
427866,2975729
427873,2975723
427875,2975720
427879,2975714
427885,2975706
427891,2975697
427894,2975687
427897,2975678
427900,2975668
427902,2975660
427903,2975652
427905,2975644
427907,2975637
427908,2975629
427909,2975617
427910,2975606
427907,2975597
427905,2975588
427902,2975579
427894,2975572
427887,2975566
427885,2975563
427880,2975559
427872,2975552
427871,2975551
427866,2975547
427859,2975541
427853,2975535
427846,2975529
427840,2975523
427834,2975518
427830,2975509
427826,2975500
427823,2975491
427819,2975482
427820,2975472
427821,2975463
427822,2975453
427823,2975443
427825,2975435
427828,2975427
427830,2975420
427830,2975420
427836,2975412
427843,2975404
427849,2975397
427856,2975392
427864,2975388
427867,2975386
427871,2975384
427878,2975379
427886,2975375
427893,2975371
427900,2975366
427907,2975362
427913,2975357
427920,2975352
427927,2975348
427933,2975343
427940,2975338
427947,2975334
427953,2975329
427960,2975325
427967,2975320
427974,2975316
427981,2975312
427988,2975309
427995,2975305
428002,2975301
428010,2975298
428017,2975294
428024,2975290
428032,2975288
428041,2975285
428049,2975283
428057,2975281
428066,2975278
428074,2975276
428082,2975273
428090,2975269
428099,2975266
428107,2975263
428115,2975259
428123,2975254
428131,2975249
428140,2975244
428148,2975240
428156,2975235
428167,2975229
428178,2975224
428188,2975222
428198,2975221
428207,2975221
428216,2975222
428225,2975222
428233,2975223
428239,2975223
428241,2975223
428249,2975224
428257,2975224
428266,2975221
428276,2975218
428285,2975216
428293,2975211
428302,2975206
428310,2975201
428318,2975198
428326,2975195
428335,2975192
428343,2975188
428351,2975185
428359,2975182
428369,2975180
428379,2975178
428389,2975176
428399,2975177
428409,2975177
428418,2975178
428428,2975179
428437,2975179
428445,2975180
428453,2975181
428462,2975181
428470,2975181
428479,2975180
428487,2975179
428495,2975178
428504,2975178
428512,2975177
428522,2975175
428532,2975172
428543,2975170
428551,2975168
428559,2975166
428568,2975164
428576,2975162
428585,2975160
428593,2975157
428601,2975155
428610,2975152
428618,2975150
428628,2975147
428639,2975144
428649,2975143
428659,2975142
428674,2975143
428684,2975144
428693,2975146
428702,2975147
428711,2975149
428720,2975150
428729,2975152
428740,2975156
428751,2975161
428758,2975166
428766,2975170
428774,2975175
428782,2975180
428790,2975185
428798,2975187
428805,2975188
428813,2975190
428821,2975192
428829,2975194
428837,2975195
428845,2975197
428854,2975198
428863,2975199
428872,2975200
428881,2975201
428890,2975202
428898,2975203
428907,2975204
428916,2975204
428924,2975203
428932,2975203
428940,2975202
428949,2975201
428957,2975200
428965,2975199
428973,2975198
428981,2975197
428989,2975196
428997,2975193
429005,2975190
429013,2975187
429021,2975185
429029,2975182
429037,2975179
429045,2975176
429052,2975172
429060,2975168
429067,2975164
429075,2975159
429082,2975155
429090,2975151
429097,2975146
429104,2975142
429111,2975138
429119,2975133
429126,2975129
429133,2975124
429140,2975120
429148,2975115
429155,2975111
429162,2975107
429171,2975104
429179,2975102
429188,2975100
429197,2975097
429206,2975095
429214,2975097
429223,2975098
429232,2975100
429240,2975102
429248,2975106
429256,2975110
429264,2975114
429272,2975118
429281,2975122
429289,2975126
429297,2975130
429305,2975134
429312,2975139
429320,2975144
429327,2975148
429334,2975153
429342,2975158
429349,2975163
429357,2975168
429363,2975173
429370,2975178
429377,2975183
429383,2975188
429392,2975190
429401,2975192
429412,2975191
429423,2975190
429439,2975193
429448,2975198
429453,2975207
429453,2975209
429454,2975217
429456,2975228
429456,2975231
429457,2975238
429457,2975247
429458,2975257
429458,2975267
429460,2975276
429461,2975284
429462,2975292
429463,2975300
429465,2975308
429466,2975316
429467,2975324
429468,2975332
429469,2975341
429473,2975349
429476,2975358
429478,2975363
429479,2975367
429483,2975376
429486,2975386
429489,2975396
429493,2975408
429496,2975419
429497,2975428
429498,2975436
429498,2975444
429498,2975453
429499,2975461
429497,2975469
429495,2975477
429488,2975488
429476,2975495
429461,2975498
429446,2975498
429434,2975499
429424,2975501
429414,2975502
429405,2975504
429396,2975506
429389,2975510
429381,2975513
429373,2975516
429366,2975520
429358,2975524
429350,2975528
429343,2975532
429335,2975536
429328,2975540
429321,2975546
429315,2975551
429309,2975556
429303,2975561
429297,2975567
429290,2975572
429284,2975577
429278,2975582
429272,2975588
429265,2975594
429259,2975600
429253,2975606
429247,2975612
429241,2975618
429234,2975624
429227,2975628
429220,2975633
429213,2975638
429205,2975643
429198,2975648
429191,2975653
429184,2975658
429177,2975662
429169,2975667
429163,2975673
429157,2975679
429151,2975684
429145,2975690
429139,2975699
429133,2975708
429131,2975719
429129,2975730
429129,2975739
429129,2975748
429132,2975756
429135,2975765
429137,2975773
429140,2975782
429143,2975793
429146,2975804
429146,2975810
429146,2975813
429146,2975821
429146,2975830
429145,2975840
429144,2975850
429143,2975860
429144,2975870
429145,2975879
429146,2975888
429147,2975898
429148,2975908
429149,2975917
429154,2975925
429159,2975932
429166,2975938
429172,2975943
429178,2975949
429184,2975954
429191,2975959
429197,2975965
429203,2975970
429209,2975975
429215,2975980
429221,2975986
429228,2975991
429234,2975996
429240,2976001
429247,2976007
429253,2976012
429260,2976017
429267,2976023
429274,2976028
429280,2976033
429286,2976039
429293,2976046
429299,2976052
429305,2976058
429311,2976065
429316,2976071
429322,2976078
429328,2976085
429333,2976091
429338,2976099
429343,2976106
429348,2976113
429353,2976120
429358,2976127
429363,2976134
429368,2976140
429373,2976146
429378,2976153
429383,2976159
429389,2976165
429394,2976171
429401,2976176
429408,2976181
429416,2976186
429424,2976189
429432,2976192
429442,2976195
429452,2976198
429462,2976201
429471,2976203
429479,2976204
429488,2976205
429496,2976207
429505,2976208
429515,2976209
429525,2976209
429535,2976210
429544,2976209
429554,2976208
429563,2976207
429571,2976205
429580,2976203
429588,2976201
429596,2976199
429604,2976197
429612,2976194
429620,2976192
429628,2976189
429636,2976186
429644,2976183
429652,2976178
429659,2976173
429667,2976168
429674,2976164
429682,2976159
429688,2976153
429695,2976148
429702,2976142
429709,2976137
429716,2976129
429723,2976122
429730,2976114
429735,2976107
429740,2976099
429744,2976092
429747,2976084
429750,2976076
429752,2976069
429755,2976060
429758,2976052
429761,2976044
429766,2976030
429773,2976020
429780,2976013
429787,2976008
429802,2976005
429817,2976009
429827,2976018
429830,2976026
429834,2976034
429838,2976041
429843,2976048
429848,2976054
429852,2976061
429859,2976068
429866,2976074
429872,2976080
429880,2976085
429889,2976090
429902,2976097
429910,2976100
429919,2976104
429927,2976106
429936,2976109
429946,2976110
429960,2976110
429972,2976106
429986,2976101
429993,2976096
430001,2976091
430008,2976086
430015,2976084
430026,2976083
430036,2976081
430049,2976084
430060,2976088
430073,2976095
430082,2976106
430086,2976113
430090,2976121
430092,2976131
430092,2976137
430092,2976145
430092,2976154
430093,2976161
430095,2976166
430099,2976169
430102,2976171
430113,2976172
430128,2976168
430137,2976164
430145,2976160
430156,2976152
430164,2976145
430172,2976138
430178,2976133
430188,2976122
430194,2976115
430200,2976108
430207,2976096
430211,2976087
430216,2976079
430219,2976067
430219,2976055
430217,2976041
430212,2976026
430211,2976012
430212,2976003
430213,2975998
430215,2975994
430222,2975985
430229,2975975
430236,2975970
430242,2975964
430250,2975961
430258,2975958
430266,2975955
430274,2975953
430282,2975950
430290,2975946
430298,2975943
430307,2975940
430315,2975936
430323,2975933
430332,2975929
430339,2975923
430345,2975917
430352,2975912
430359,2975906
430364,2975898
430369,2975890
430370,2975890
430375,2975882
430380,2975874
430385,2975866
430388,2975857
430390,2975849
430392,2975841
430394,2975833
430396,2975825
430398,2975817
430400,2975809
430403,2975801
430406,2975793
430408,2975785
430411,2975777
430414,2975769
430416,2975761
430419,2975753
430421,2975744
430422,2975735
430424,2975726
430426,2975717
430425,2975706
430424,2975695
430421,2975685
430418,2975675
430417,2975665
430416,2975656
430415,2975647
430417,2975635
430418,2975623
430421,2975616
430424,2975608
430427,2975600
430430,2975592
430435,2975585
430441,2975577
430446,2975570
430451,2975562
430455,2975555
430470,2975538
430596,2975387
430603,2975383
430610,2975381
430618,2975379
430626,2975378
430634,2975376
430645,2975377
430656,2975377
430665,2975379
430675,2975381
430686,2975386
430696,2975392
430705,2975397
430713,2975403
430721,2975408
430730,2975414
430737,2975420
430745,2975425
430753,2975431
430761,2975437
430767,2975443
430772,2975448
430778,2975454
430783,2975463
430789,2975472
430791,2975481
430794,2975490
430796,2975500
430798,2975510
430798,2975519
430799,2975528
430799,2975537
430798,2975547
430797,2975556
430796,2975566
430796,2975577
430798,2975585
430800,2975594
430802,2975602
430804,2975611
430806,2975621
430809,2975631
430812,2975642
430814,2975651
430816,2975660
430818,2975670
430820,2975682
430820,2975696
430818,2975815
430814,2976004
430813,2976012
430811,2976020
430810,2976028
430808,2976036
430806,2976044
430805,2976052
430803,2976060
430800,2976068
430798,2976077
430796,2976085
430794,2976093
430791,2976101
430789,2976110
430788,2976118
430786,2976126
430785,2976133
430783,2976141
430782,2976149
430780,2976157
430780,2976160
430779,2976165
430777,2976173
430776,2976181
430774,2976189
430773,2976199
430773,2976209
430772,2976219
430771,2976228
430771,2976239
430771,2976249
430772,2976260
430774,2976268
430777,2976277
430780,2976285
430782,2976294
430787,2976301
430791,2976309
430796,2976317
430800,2976324
430806,2976331
430811,2976339
430816,2976346
430822,2976353
430827,2976361
430833,2976368
430839,2976375
430845,2976382
430852,2976390
430859,2976398
430866,2976406
430872,2976413
430878,2976419
430883,2976425
430890,2976433
430896,2976440
430903,2976447
430910,2976455
430916,2976462
430922,2976468
430928,2976475
430934,2976481
430940,2976486
430946,2976492
430952,2976498
430958,2976503
430964,2976508
430971,2976514
430975,2976517
430978,2976519
430984,2976524
430991,2976529
430997,2976534
431004,2976540
431011,2976544
431019,2976549
431026,2976554
431034,2976559
431042,2976563
431051,2976567
431059,2976571
431067,2976575
431077,2976576
431086,2976578
431098,2976577
431109,2976576
431118,2976574
431128,2976572
431137,2976570
431146,2976569
431154,2976566
431162,2976564
431170,2976561
431178,2976559
431186,2976557
431194,2976554
431202,2976551
431210,2976548
431218,2976545
431226,2976542
431234,2976539
431243,2976536
431251,2976533
431259,2976530
431267,2976527
431275,2976524
431283,2976520
431291,2976516
431300,2976512
431303,2976510
431308,2976508
431316,2976504
431324,2976499
431331,2976494
431338,2976489
431345,2976484
431352,2976477
431359,2976470
431365,2976463
431372,2976456
431376,2976446
431380,2976437
431384,2976428
431390,2976413
431395,2976407
431400,2976400
431405,2976393
431411,2976385
431416,2976377
431421,2976369
431427,2976361
431432,2976353
431436,2976345
431440,2976338
431444,2976330
431447,2976322
431451,2976314
431455,2976306
431461,2976299
431466,2976292
431472,2976285
431478,2976278
431484,2976272
431489,2976265
431495,2976259
431501,2976251
431508,2976245
431515,2976240
431522,2976234
431529,2976229
431536,2976224
431546,2976215
431554,2976204
431558,2976196
431561,2976189
431564,2976179
431567,2976169
431569,2976158
431570,2976147
431571,2976135
431572,2976127
431573,2976118
431574,2976110
431574,2976101
431576,2976092
431577,2976082
431578,2976072
431580,2976063
431582,2976055
431584,2976046
431586,2976037
431588,2976029
431590,2976020
431593,2976012
431596,2976004
431598,2975996
431601,2975988
431603,2975980
431606,2975972
431610,2975964
431614,2975955
431617,2975946
431621,2975937
431626,2975930
431631,2975923
431636,2975915
431640,2975908
431645,2975901
431650,2975893
431655,2975886
431660,2975879
431664,2975872
431669,2975865
431674,2975857
431679,2975850
431683,2975843
431688,2975836
431694,2975829
431699,2975823
431704,2975816
431710,2975810
431715,2975803
431720,2975796
431726,2975790
431733,2975783
431739,2975777
431745,2975770
431753,2975764
431761,2975758
431769,2975753
431777,2975747
431784,2975739
431790,2975731
431796,2975721
431801,2975712
431804,2975704
431807,2975696
431810,2975688
431814,2975680
431817,2975672
431822,2975657
431825,2975650
431828,2975642
431831,2975634
431834,2975627
431836,2975619
431839,2975611
431842,2975604
431845,2975594
431849,2975584
431852,2975574
431854,2975565
431857,2975556
431860,2975548
431862,2975539
431865,2975532
431867,2975524
431870,2975516
431873,2975509
431875,2975501
431879,2975494
431884,2975486
